BairroId;CidadeId;Nome;NomeAbreviado;NomeFonetizado
21A5721E-AF5F-471B-89E7-00039D794ED3;5C85398E-7B8D-4BD8-A384-920E0EAC1E8C;Centro;NULL;SMTO
5617C163-6E03-4629-9CBE-0003C0E7FFD8;519EEC99-D396-484A-8EFF-4E98A9F64E37;Centro;NULL;SMTO
856E32B7-5E28-4F50-9607-00056B7940C0;75F07BED-55C7-4E99-AEE5-35ADBE1A330D;Posse;NULL;POSE
BC60CB76-4EF3-4D00-BEAB-0005D7ECAE2F;4302AB83-68E1-4D69-BB95-9D811991E099;Jardim Arizona;NULL;JARDIM ARISOMA
B46859C6-86A3-4A0D-AFFE-0006DAA1BCD8;71399882-8B6D-4178-A35D-7ED9ED8923DA;Valparaiso I - Etapa C;NULL;VARPARAISO I - ETAPA K
505605C3-75D7-4E3D-A6F4-0006F9E63FF0;8AC94EA5-58F9-41D6-807A-3C2468A3A1D7;Jardim Mário Leite de Castro;NULL;JARDIM MARIO REITE DE KTO
10F664EF-D831-4A53-B315-00086A80DF57;C33339FF-310B-4799-8881-C36D53C56847;Parque Santa Lúcia;NULL;PARKUE SAMTA RUSA
559773FD-2F04-49DB-A010-00089785C67C;928EDB5B-20B1-41AB-8B86-11F63B7F36F6;Rio Comprido;NULL;RIO KMPIDO
7550BD4B-99DD-4E0B-AEF2-00089E3FA95D;B6AFC6B5-151B-4227-B599-5F3849E43D53;Jardim Santa Helena;NULL;JARDIM SAMTA EREMA
8EF61E6B-2077-4084-8BD5-000DAB4E1EF1;369AA753-605C-4E04-B754-08718417CCA5;Miami Paulista;NULL;MIAMI PAURITA
2424A7D5-3C51-403A-AD2C-000E06531D66;70C0FF30-7108-4ED3-B309-A272F345E138;Vila Gustavo Correia;NULL;VIRA GUTAVO KREIA
EC28FB1E-70C5-47DE-BCB0-0012CCB71965;4302AB83-68E1-4D69-BB95-9D811991E099;Jardim Alvorada;NULL;JARDIM ARVORADA
B18FFD74-101A-4DEC-9C76-0019D34ABAA1;E3DA07C1-921C-4EB7-A314-9B0A8E4A8C54;Mutuaguaçu;NULL;MUTUAGUASU
A0C168B7-FABF-4292-BC8F-001A917DC68A;32CF2EC7-C6FE-43C6-B7CE-4ED54BF9D1A5;Vila Almeida;NULL;VIRA ARMEIDA
E8B2277D-7BC6-4570-88E5-001D048EFCE1;6108D811-340A-4390-BB59-4114849A1636;Jardim Faculdade;NULL;JARDIM FAKRDADE
9F51DE03-F769-44DF-B4AD-001D7EF0FCB1;7961A397-9293-49B8-B7F5-0E86B23284B8;Vila Cloris;NULL;VIRA KRORI
D005D272-1374-4246-BF49-0021BE217230;369AA753-605C-4E04-B754-08718417CCA5;Jardim Grimaldi;NULL;JARDIM GIMARDI
19E35F35-DC4F-424B-B696-0025E85251AC;5E0B0ECB-F061-4C94-9C4C-72AC297E5FCD;São Miguel;NULL;SAO MIGUEU
31F9BC0C-28B1-4E52-AD69-0026DC6A2DE9;CA7D5ABF-C96D-40B7-8D1E-CE83B8B0BF99;Jardim Sônia;NULL;JARDIM SÔMIA
C06316C0-F51B-4016-87DE-0028AA5554D6;E3DA07C1-921C-4EB7-A314-9B0A8E4A8C54;Boa Vista;NULL;BOA VITA
87C51B8B-FDAE-4187-98A3-00292C8F5F77;AFBDA8FB-3697-4457-A1DC-719C1FA09047;Del-Rey;NULL;DER-REI
D6C3BEFD-F9F0-4B4A-A7D2-002BEB5BC3CD;E7D4391B-2D84-41A9-B5E4-97864C17A9F3;Recanto dos Pinheiros;NULL;REKMTO DOS PIMEIRO
30EDDED3-1B9B-402F-A0A4-002C518845EC;257F271A-D2CB-4FEB-8938-7D45C76461B2;São Jorge;NULL;SAO JOJ
